fridgeTemp,bpm,temp,sg,count,temp_target,roomTemp,gravity_target,hysteresis,device_integration,percentage,report_source,type,pour_volume,battery,device_state,comment,volume_unit,time,rssi,device_source,beer,max_volume,ph,pressure,id,volume,angle,__acc_reading_doc_id,__acc_reading_data_id,timepoint
,,1.4,1.01,,,,,,default,,,stream,,,,,,1742135937204,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,oMsDIkRz0PnpIHIFrjaA,2025-03-16T14:38:57.204Z
,,-0.3,1.011,,,,,,default,,,stream,,,,,,1742132336741,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,etz3D8a2Xw22dEXJUyyd,2025-03-16T13:38:56.741Z
,,-0.2,1.01,,,,,,default,,,stream,,,,,,1742128735549,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,5B44KBM5zN1VSgcTuYk8,2025-03-16T12:38:55.549Z
,,0.1,1.01,,,,,,default,,,stream,,,,,,1742125135004,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,9GJ0AdvMtnGGZEV4LZ7u,2025-03-16T11:38:55.004Z
,,0.4,1.011,,,,,,default,,,stream,,,,,,1742121535493,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,sNmncgrKwPUyiZI0XqhJ,2025-03-16T10:38:55.493Z
,,-0.2,1.01,,,,,,default,,,stream,,,,,,1742117938549,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,3xva4OJF061UKM3NeoWl,2025-03-16T09:38:58.549Z
,,0,1.01,,,,,,default,,,stream,,,,,,1742114335466,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,MrRRvi9RdmNpQbeKBOVj,2025-03-16T08:38:55.466Z
,,-0.3,1.01,,,,,,default,,,stream,,,,,,1742110730497,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,jGBpHlB6nf5XDkpuvx9H,2025-03-16T07:38:50.497Z
,,-0.2,1.01,,,,,,default,,,stream,,,,,,1742107130618,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,CY4I1SbM5C5QY8WS1Dkk,2025-03-16T06:38:50.618Z
,,0.2,1.01,,,,,,default,,,stream,,,,,,1742103529863,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,rTriMPkCdB0P2ZAQGuyU,2025-03-16T05:38:49.863Z
